iso3,lat,lon
ZWE,-19.004204240988013,29.85144127118723
ZMB,-13.458241541732171,27.77475957947585
YEM,15.909280044176159,47.58676191613558
VNM,16.646016857618775,106.29914699203914
VEN,7.12422421663365,-66.18184118191326
VAT,41.90175006441545,12.43387159559434
VUT,-16.226409692887803,167.6864465911792
UZB,41.7555422116519,63.14001541097037
URY,-32.799515427234724,-56.01807046722456
FSM,7.452467385377736,153.23944142806644
MHL,7.003758600836659,170.33975533886698
MNP,15.829270139505667,145.61969589676323
VIR,17.95500737126921,-64.80301584547107
GUM,13.441655928944076,144.76791001200615
ASM,-14.304460038999004,-170.71802579299944
PRI,18.228130462961534,-66.47307619254036
USA,45.67954727132687,-112.46167385189989
SGS,-54.46488254141306,-36.433183823333806
IOT,-7.330597606162248,72.44541214576738
SHN,-12.403581462304475,-9.547770486346469
PCN,-24.365005251981398,-128.31704177639642
AIA,18.22395968989891,-63.064988991030155
FLK,-51.74483957991495,-59.35238955636629
CYM,19.42896577013626,-80.91213106145742
BMU,32.31367778284115,-64.7545590902723
VGB,18.525857971723806,-64.47146998585357
TCA,21.830475662342938,-71.97387810462081
MSR,16.739414000494786,-62.18518557323708
JEY,49.21837352710711,-2.12689933781644
GGY,49.468097709482564,-2.57239069748663
IMN,54.22418916931156,-4.538739528392032
GBR,54.12387157522059,-2.8656316559041413
ARE,23.905281936889104,54.30016720857809
UKR,49.1586730950405,31.252911162871484
UGA,1.2746929352867609,32.36907977300311
TKM,39.11554136560813,59.37100027548375
TUR,39.061602869095886,35.16895364535612
TUN,34.119562515924045,9.552883492593374
TTO,10.457333719035212,-61.26567932564433
TON,-20.428432934097902,-174.80987464493379
TGO,8.525313667695968,0.9623284038143359
TLS,-8.82889179334272,125.84438979244226
THA,15.11815788470119,101.00288130470648
TZA,-6.275654199923519,34.81309986958371
TJK,38.53045384331454,71.01362647256155
TWN,23.75399281238085,120.9542726414604
SYR,35.02320990207478,38.50462446698269
CHE,46.797858775897225,8.208674758072032
SWE,62.77966521465375,16.745580468400124
SWZ,-26.558430471609906,31.48193694627044
SUR,4.130554193076501,-55.912345697322465
SSD,7.308779425645376,30.247900009887882
SDN,15.990356673571846,29.94046810520789
LKA,7.6126653018326,80.70108242096794
ESP,40.244486998709796,-3.647550465588315
KOR,36.3852398476725,127.83916092502714
ZAF,-29.000340944889214,25.0839009254891
SOM,4.750628633284216,45.70714479709396
SLB,-8.921780619529732,159.63287691515595
SVK,48.705475329858245,19.47905232121714
SVN,46.115547671178945,14.804442510542122
SGP,1.3587607300963553,103.81725601122092
SLE,8.563295975290309,-11.792712435404086
SYC,-4.660990708941379,55.47603277312095
SRB,44.22150318692581,20.78958331084605
SEN,14.36624173305769,-14.473492271362424
SAU,24.122458380462437,44.53686268501861
STP,0.4439142505999903,6.724296566751306
SMR,43.941867511222,12.459223176700831
WSM,-13.753243445992982,-172.16485040574133
VCT,13.224723175124145,-61.20129665634031
LCA,13.894794577230241,-60.969699473311174
KNA,17.26459980633583,-62.68755301696949
RWA,-1.9903382325098653,29.919885182397845
RUS,61.96285911122548,96.62051014157767
ROU,45.85243128739426,24.97293041960408
QAT,25.30601187698232,51.18479641270921
PRT,39.59550678688433,-8.501043129425584
POL,52.127595701719684,19.390128345470057
PHL,11.77536785735609,122.88393253797722
PER,-9.15280382706728,-74.38242684373579
PRY,-23.228239222281868,-58.40013695513641
PNG,-6.464166365269013,145.20744752609662
PAN,8.517507950296116,-80.11915154019117
PLW,7.28742806392885,134.40807995292735
PAK,29.949751477994006,69.33957933021887
OMN,20.60515331640596,56.09166160025356
PRK,40.1535031259838,127.19247983989126
NGA,9.5941145529335,8.089438995557149
NER,17.41912494684995,9.385458844888912
NIC,12.847094225907972,-85.03052974013742
NZL,-41.81113547756643,171.48492416145282
NIU,-19.04945720826823,-169.86994686427855
COK,-21.219273096761643,-159.78724198003744
NLD,52.10078976595212,5.281447774576843
ABW,12.52088013992157,-69.98267680776637
CUW,12.19551698575296,-68.97119398791308
NPL,28.248913638014727,83.91582629865131
NRU,-0.5191262014183526,166.93256805022574
NAM,-22.130325618501598,17.209635710191623
MOZ,-17.27381652246681,35.53367538769474
MAR,29.83762946202136,-8.456158013758268
ESH,24.229567658395453,-12.219827190731262
MNE,42.788902624009104,19.238839405628482
MNG,46.82681541766327,103.05299765227119
MDA,47.194988006580076,28.45673372121338
MCO,43.75274598139874,7.406276759679128
MEX,23.947537326992315,-102.52345180175642
MUS,-20.277687124361652,57.571205397253784
MRT,20.25736711997165,-10.347798198074827
MLT,35.92149651880312,14.40523316279584
MLI,17.34581580125331,-3.542690630521866
MDV,3.7287060187501404,73.45712969884407
MYS,3.789868357813412,109.6976228914816
MWI,-13.218080969668813,34.28935601223356
MDG,-19.37189590515449,46.70473681973389
MKD,41.59530894162871,21.682113538643655
LUX,49.76725351180568,6.071822186206843
LTU,55.32610990818913,23.887193504045506
LIE,47.136658411904506,9.535743003583127
LBY,27.030945011203794,18.00866153290339
LBR,6.452784772770829,-9.322075693254718
LSO,-29.58003187269936,28.227231387806484
LBN,33.92306610907399,35.88016069601202
LVA,56.85085164420332,24.912359744426897
LAO,18.50217428233622,103.73772411515803
KGZ,41.46221939900487,74.54165517599276
KWT,29.3343123882136,47.587004534959476
KIR,0.8600138794013606,-45.611330495603234
KEN,0.5998802079240542,37.79593973206258
KAZ,48.156880671690004,67.29149355323464
JOR,31.24579094903305,36.77136111422852
JPN,37.59230133171728,138.03089567056307
JAM,18.15694883229984,-77.31482620602237
ITA,42.796628455173526,12.070012490777104
ISR,31.442606613657055,34.995340044251805
PSE,31.91613909725473,35.19628734147167
IRL,53.17544862852191,-8.137935860648833
IRQ,33.03970578417404,43.74353145010906
IRN,32.57503288886229,54.27407019245813
IDN,-2.2150545555317,117.24011301252456
IND,22.88578202437352,79.6119760658926
ISL,64.99575377225648,-18.57396163133524
HUN,47.16277510028202,19.395591227494727
HND,14.826881683798529,-86.61516609645248
HTI,18.935025712584064,-72.68527513211629
GUY,4.793780404702965,-58.9820245644334
GNB,12.047449670224816,-14.94972445196058
GIN,10.436215875444558,-10.940666054169723
GTM,15.694036592734623,-90.36482015626532
GRD,12.117250156080138,-61.68220170973455
GRC,39.07469618227488,22.955558037163506
GHA,7.953456440045552,-1.2167656294631835
DEU,51.106981861147716,10.385780583147856
GEO,42.16855755444175,43.50780241607904
GMB,13.449652297531474,-15.396013471564133
GAB,-0.5866003190884753,11.788628664146156
SPM,46.9191878878406,-56.303197904207934
WLF,-13.887370784407542,-177.3483493570583
MAF,18.08888596428679,-63.05972872888502
BLM,17.89880445974953,-62.840677829430355
PYF,-14.722277922976629,-144.90494175386
NCL,-21.299918214420973,165.6849234961535
ATF,-49.24895489323072,69.22666783432283
ALA,60.21488696702133,19.953287547713522
FIN,64.49884608153008,26.274665688800475
FJI,-17.42858017061617,165.45192870630996
ETH,8.622786770709581,39.60080090372519
EST,58.67192966307647,25.54248540564387
ERI,15.361866173600601,38.84617023823916
GNQ,1.7055514315959366,10.341378983632728
SLV,13.739437491161372,-88.8716447816881
EGY,26.495933048431507,29.861900886565117
ECU,-1.4238161076559879,-78.75201899790184
DOM,18.89433084580142,-70.50568909195026
DMA,15.439469863036065,-61.35772584993749
DJI,11.748718085348521,42.56067540929752
GRL,74.71051285452454,-41.34191141156685
FRO,62.05385425715823,-6.880954116524939
DNK,55.98125290564875,10.02800999796068
CZE,49.73341226990629,15.31240170131836
CYP,34.91667213025863,33.00600228532549
CUB,21.622895238934326,-79.01605390006061
HRV,45.08047635161338,16.404129072554706
CIV,7.628426137922282,-5.569215695776789
CRI,9.97634462132111,-84.19208763529666
COD,-2.877462875397234,23.643961052224963
COG,-0.8378745191887186,15.219657685134603
COM,-11.877834621783405,43.68253980865271
COL,3.9138342423656405,-73.08114576069248
CHN,36.56176537022446,103.81907311337008
MAC,22.223116782828473,113.50932142450465
HKG,22.39827751993525,114.11380445516666
CHL,-37.73070982238712,-71.38256219945653
TCD,15.333337540901141,18.644925153832563
CAF,6.568232930959856,20.468268264657162
CPV,15.955233100503113,-23.959887876123418
CAN,61.362063124417475,-98.30777024439355
CMR,5.691098436367554,12.739641543238365
KHM,12.720047805471612,104.90694325360381
MMR,21.185666008229642,96.4884332780984
BDI,-3.3593964978581217,29.875121660066206
BFA,12.269538387584289,-1.754566051456966
BGR,42.7689032111539,25.215529087195904
BRN,4.519689520318736,114.72203024088569
BRA,-10.787777021196728,-53.09783111307787
BWA,-22.184032161589155,23.798533664709733
BIH,44.17450126458697,17.768767347722733
BOL,-16.70814790277425,-64.68538643478833
BTN,27.41106595522492,90.40188156425607
BEN,9.641759630365259,2.3278525578953806
BLZ,17.200275136310893,-88.71010501489167
BEL,50.63958963839609,4.6387358474525175
BLR,53.53131376730804,28.032093185437418
BRB,13.1814543566642,-59.55979707352791
BGD,23.8673117629234,90.23812727973277
BHR,26.042051574546925,50.541969299150885
BHS,24.290366094136022,-76.62842948956425
AZE,40.2882723938508,47.545999002835934
AUT,47.58549439786609,14.126476233570664
AUS,-25.73288704929431,134.4910001020378
HMD,-53.087246415245744,73.52051699907683
NFK,-29.051460881653693,167.9492168036285
ARM,40.28952553604632,44.92993298005208
ARG,-35.38134880612299,-65.1798069082599
ATG,17.277499842431514,-61.79469331919649
AGO,-12.293360544486232,17.537367756972095
AND,42.54229103614519,1.5605436768259973
DZA,28.15893844533861,2.617322947043704
ALB,41.142449921024436,20.049833972289935
AFG,33.83523070138696,66.00473367230742
ATA,-80.50857924167279,19.92108932668391
SXM,18.050816911797032,-63.05713363841005
TUV,-8.503451650303901,179.20556529296348
