iso3,namlemy,BLM
MAF,Saint-Martin,MAF
SXM,Sint Maarten,SXM
SGS,South Georgia and the Islands,SGS
TLS,Timor-Leste,TLS
TCA,Turks and Caicos Islands,TCA
VIR,United States Virgin Islands,VIR
WLF,Wallis and Futuna Islands,WLF
ESH,Western Sahara,ESH
ALA,Åland Islands,ALA
e,raw_iso3
ASM,American Samoa,ASM
AIA,Anguilla,AIA
ATA,Antarctica,ATA
ABW,Aruba,ABW
BMU,Bermuda,BMU
IOT,British Indian Ocean Territory,IOT
VGB,British Virgin Islands,VGB
CYM,Cayman Islands,CYM
COK,Cook Islands,COK
CUW,Curaçao,CUW
FRO,Faeroe Islands,FRO
FLK,Falkland Islands / Malvinas,FLK
PYF,French Polynesia,PYF
ATF,French Southern and Antarctic Lands,ATF
GRL,Greenland,GRL
GUM,Guam,GUM
GGY,Guernsey,GGY
HMD,Heard I. and McDonald Islands,HMD
HKG,Hong Kong,HKG
IMN,Isle of Man,IMN
JEY,Jersey,JEY
MAC,Macao,MAC
MSR,Montserrat,MSR
NCL,New Caledonia,NCL
NIU,Niue,NIU
NFK,Norfolk Island,NFK
MNP,Northern Mariana Islands,MNP
PCN,Pitcairn Islands,PCN
PRI,Puerto Rico,PRI
SHN,Saint Helena,SHN
SPM,Saint Pierre and Miquelon,SPM
BLM,Saint-Barthé